kdkab	namakab	KDKEC	NAMA_KEC	KDKEL	DESA_KEL	LAKI	PEREMP	BELUM_TIDAK_BEKERJA	MENGURUS_RUMAH_TANGGA	PELAJAR_MAHASISWA	PENSIUNAN	PEGAWAI_NEGERI_SIPIL	TENTARA_NASIONAL_INDONESIA	KEPOLISIAN_RI	PERDAGANGAN	PETANI_PEKEBUN	PETERNAK	NELAYAN_PERIKANAN	INDUSTRI	KONSTRUKSI	TRANSPORTASI	KARYAWAN_SWASTA	KARYAWAN_BUMN	KARYAWAN_BUMD	KARYAWAN_HONORER	BURUH_HARIAN_LEPAS	BURUH_TANI_PERKEBUNAN	BURUH_NELAYAN_PERIKANAN	BURUH_PETERNAKAN	PEMBANTU_RUMAH_TANGGA	TUKANG_CUKUR	TUKANG_LISTRIK	TUKANG_BATU	TUKANG_KAYU	TUKANG_SOL_SEPATU	TUKANG_LAS_PANDAI_BESI	TUKANG_JAHIT	TUKANG_GIGI	PENATA_RIAS	PENATA_BUSANA	PENATA_RAMBUT	MEKANIK	SENIMAN	TABIB	PARAJI	PERANCANG_BUSANA	PENTERJEMAH	IMAM_MESJID	PENDETA	PASTOR	WARTAWAN	USTADZ_MUBALIGH	JURU_MASAK	PROMOTOR_ACARA	ANGGOTA_DPR_RI	ANGGOTA_DPD	ANGGOTA_BPK	PRESIDEN	WAKIL_PRESIDEN	ANGGOTA_MAHKAMAH_KONSTITUSI	ANGGOTA_KABINET_KEMENTERIAN	DUTA_BESAR	GUBERNUR	WAKIL_GUBERNUR	BUPATI	WAKIL_BUPATI	WALIKOTA	WAKIL_WALIKOTA	ANGGOTA_DPRD_PROVINSI	ANGGOTA_DPRD_KABUPATEN_KOTA	DOSEN	GURU	PILOT	PENGACARA	NOTARIS	ARSITEK	AKUNTAN	KONSULTAN	DOKTER	BIDAN	PERAWAT	APOTEKER	PSIKIATER_PSIKOLOG	PENYIAR_TELEVISI	PENYIAR_RADIO	PELAUT	PENELITI	SOPIR	PIALANG	PARANORMAL	PEDAGANG	PERANGKAT_DESA	KEPALA_DESA	BIARAWATI	WIRASWASTA	LAINNYA	JML_DUK
7371	MAKASSAR	737108	UJUNG TANAH	7371081001	BARRANG CADDI	2237	2338	2106	1049	195	2	7	0	0	22	1	0	1117	0	0	0	20	0	0	4	3	0	15	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	4575
7371	MAKASSAR	737108	UJUNG TANAH	7371081002	TABARINGAN	2804	2866	2275	1022	819	22	68	5	9	360	4	0	1	0	0	8	345	5	0	14	57	0	1	0	10	0	1	5	2	0	1	12	0	0	0	0	3	0	0	0	0	0	2	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	23	0	2	2	1	0	0	6	1	1	1	0	0	1	9	0	12	0	8	5	0	0	0	533	0	5670
7371	MAKASSAR	737108	UJUNG TANAH	7371081003	PATTINGALLOANG	3651	3612	3306	1525	643	24	48	1	4	288	1	2	112	0	0	4	151	1	0	11	202	1	55	0	1	1	1	6	4	1	2	12	0	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	13	0	1	0	1	0	1	0	2	1	0	0	0	1	20	0	23	0	2	14	0	0	1	767	0	7263
7371	MAKASSAR	737108	UJUNG TANAH	7371081004	GUSUNG	1839	1849	1299	712	570	13	29	4	4	267	6	0	40	0	1	6	151	2	0	5	61	1	18	0	3	0	0	0	2	0	0	2	0	3	0	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	13	0	0	1	0	0	1	1	1	3	0	0	0	0	50	0	6	0	0	6	0	0	0	396	0	3688
7371	MAKASSAR	737108	UJUNG TANAH	7371081005	CAMBAYA	4490	4125	3959	1843	562	15	21	1	7	249	3	0	341	0	0	26	240	0	0	4	564	4	131	1	2	3	0	7	7	0	4	6	0	1	2	1	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	2	0	0	0	41	3	34	1	19	7	0	0	0	488	0	8615
7371	MAKASSAR	737108	UJUNG TANAH	7371081006	UJUNG TANAH	744	753	597	308	222	8	31	3	2	68	0	0	0	0	0	1	74	3	1	4	57	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	95	0	1497
7371	MAKASSAR	737108	UJUNG TANAH	7371081007	BARRANG LOMPO	2516	2519	2562	1033	149	11	14	2	3	72	1	0	1057	2	1	3	9	0	0	6	5	0	21	0	0	0	1	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	23	0	0	0	30	0	5035
7371	MAKASSAR	737108	UJUNG TANAH	7371081008	KODINGARENG	2519	2505	1954	1122	541	4	10	0	0	40	1	0	556	0	1	0	39	0	0	9	12	0	661	2	2	0	1	3	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	17	0	0	1	34	0	5024
7371	MAKASSAR	737108	UJUNG TANAH	7371081009	TOTAKA	2003	1918	1520	681	487	30	92	183	1	141	4	0	6	1	0	2	237	12	1	9	96	1	6	0	23	1	0	0	1	0	0	6	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	19	1	0	0	0	0	1	3	1	4	0	0	0	0	5	0	22	0	1	4	0	0	0	313	0	3921
7371	MAKASSAR	737108	UJUNG TANAH	7371081010	TAMALABBA	2027	1957	1684	717	471	39	149	253	6	110	0	0	2	2	0	3	195	5	0	7	89	0	1	1	13	0	1	2	1	0	0	8	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	3	1	2	0	0	0	0	8	0	21	0	0	3	0	0	0	165	0	3984
