kdkab	namakab	kdkec	namakec	kdkel	desakel	laki	perempuan	blm_kwn	kwn	cr_hdp	cr_mati	jml_duk
7302	BULUKUMBA	730205	HERO LANGE-LANGE	7302052006	BORONG	1777	1925	1662	1872	29	139	3702
7302	BULUKUMBA	730205	HERO LANGE-LANGE	7302052007	TUGONDENG	2700	2946	2723	2618	37	268	5646
7302	BULUKUMBA	730205	HERO LANGE-LANGE	7302052008	PATARO	1834	1994	1777	1886	28	137	3828
7302	BULUKUMBA	730206	KAJANG	7302061001	TANAH JAYA	3953	4086	4002	3678	40	319	8039
7302	BULUKUMBA	730206	KAJANG	7302061002	LAIKANG	1429	1549	1440	1455	6	77	2978
7302	BULUKUMBA	730206	KAJANG	7302062003	TAMBANGAN	2302	2522	2302	2264	31	227	4824
7302	BULUKUMBA	730206	KAJANG	7302062004	LEMBANNA	1938	1962	1822	1931	16	131	3900
7302	BULUKUMBA	730206	KAJANG	7302062005	POSSI TANAH	1046	1070	959	1061	28	68	2116
7302	BULUKUMBA	730206	KAJANG	7302062006	TANAH TOWA	2053	2284	2258	1852	50	177	4337
7302	BULUKUMBA	730206	KAJANG	7302062007	BONTO BIRAENG	1090	1077	968	1159	9	31	2167
7302	BULUKUMBA	730206	KAJANG	7302062008	LEMBANG	1439	1556	1475	1407	14	99	2995
7302	BULUKUMBA	730206	KAJANG	7302062009	BATUNILAMUNG	1042	1034	1064	962	4	46	2076
7302	BULUKUMBA	730206	KAJANG	7302062010	MATTOANGING	1081	1185	1085	1015	25	141	2266
7302	BULUKUMBA	730206	KAJANG	7302062011	MALLELENG	1043	1099	1034	1032	8	68	2142
7302	BULUKUMBA	730206	KAJANG	7302062012	BONTO BAJI	2584	2626	2454	2582	42	132	5210
7302	BULUKUMBA	730206	KAJANG	7302062013	BONTORANNU	1248	1331	1313	1165	22	79	2579
7302	BULUKUMBA	730206	KAJANG	7302062014	PATTIROANG	1030	1089	1055	967	17	80	2119
7302	BULUKUMBA	730206	KAJANG	7302062015	SAPANANG	1097	1004	1019	1003	14	65	2101
7302	BULUKUMBA	730206	KAJANG	7302062016	SANGKALA	1433	1393	1359	1363	18	86	2826
7302	BULUKUMBA	730206	KAJANG	7302062017	LEMBANGLOHE	1296	1421	1370	1220	11	116	2717
7302	BULUKUMBA	730206	KAJANG	7302062019	PANTAMA	1366	1409	1285	1345	33	112	2775
