kdkab	namakab	KDKEC	NAMA_KEC	KDKEL	DESA_KEL	LAKI	PEREMP	BLM_SKLH	TDK_TM_SD	TM_SD	SLTP	SLTA	DIP_II	DIP_III	STR_I	STR_II	STR_III	JML_DUK
7301	SELAYAR	730110	PASIMASUNGGU TIMUR	7301102002	BONTO BARU	548	601	307	260	364	113	80	12	1	12	0	0	1149
7301	SELAYAR	730110	PASIMASUNGGU TIMUR	7301102003	BONTOMALLING	678	715	555	215	453	100	55	13	0	2	0	0	1393
7301	SELAYAR	730110	PASIMASUNGGU TIMUR	7301102004	LEMBANG BAJI	515	505	364	103	390	79	67	7	5	4	1	0	1020
7301	SELAYAR	730110	PASIMASUNGGU TIMUR	7301102005	BONTOJATI	628	721	309	384	362	156	117	14	2	5	0	0	1349
7301	SELAYAR	730111	BUKI	7301112001	BUKI	493	524	182	120	276	151	211	36	12	27	2	0	1017
7301	SELAYAR	730111	BUKI	7301112002	LALANG BATA	503	580	301	134	233	150	203	28	10	24	0	0	1083
7301	SELAYAR	730111	BUKI	7301112003	BALANG BUTUNG	374	395	293	76	191	88	111	6	1	3	0	0	769
7301	SELAYAR	730111	BUKI	7301112004	KOHALA	462	499	313	114	225	108	167	14	4	16	0	0	961
7301	SELAYAR	730111	BUKI	7301112005	BONTOLEMPANGAN	529	546	326	89	316	148	164	16	5	11	0	0	1075
7301	SELAYAR	730111	BUKI	7301112006	MEKAR INDAH	461	515	241	77	247	167	188	21	8	27	0	0	976
7301	SELAYAR	730111	BUKI	7301112007	BUKI TIMUR	395	425	267	103	236	116	84	5	1	8	0	0	820
7302	BULUKUMBA	730201	GANTARANG	7302011001	MATTEKKO	2381	2524	987	627	1334	618	1038	43	82	158	18	0	4905
7302	BULUKUMBA	730201	GANTARANG	7302011002	JALANJANG	3141	3262	1653	1151	2198	546	705	21	38	87	2	2	6403
7302	BULUKUMBA	730201	GANTARANG	7302011003	MARIORENNU	2809	2764	2044	1085	1531	461	355	23	25	45	0	4	5573
7302	BULUKUMBA	730201	GANTARANG	7302012004	BIALO	1569	1783	570	372	939	414	710	61	59	222	5	0	3352
7302	BULUKUMBA	730201	GANTARANG	7302012005	BONTO MACINNA	2746	2908	1342	571	1720	708	1005	61	78	163	4	2	5654
7302	BULUKUMBA	730201	GANTARANG	7302012006	GATTARENG	2280	2328	1027	519	1651	662	589	41	20	94	0	5	4608
7302	BULUKUMBA	730201	GANTARANG	7302012007	DAMPANG	2561	2625	1308	782	1545	677	698	28	28	104	6	10	5186
7302	BULUKUMBA	730201	GANTARANG	7302012008	BONTO SUNGGU	1452	1594	590	372	753	478	622	39	52	134	5	1	3046
7302	BULUKUMBA	730201	GANTARANG	7302012009	PALAMBARAE	2137	2124	1070	598	1262	731	475	22	23	78	1	1	4261
7302	BULUKUMBA	730201	GANTARANG	7302012010	BONTONYELENG	2433	2494	1379	604	1560	671	574	29	34	71	3	2	4927
7302	BULUKUMBA	730201	GANTARANG	7302012011	BENTENG MALEWANG	1477	1557	853	319	897	419	419	23	36	63	4	1	3034
7302	BULUKUMBA	730201	GANTARANG	7302012012	PADANG	2289	2426	974	659	1799	578	563	33	36	72	1	0	4715
7302	BULUKUMBA	730201	GANTARANG	7302012013	BONTORAJA	2703	2776	1373	989	2030	474	515	8	24	64	0	2	5479
7302	BULUKUMBA	730201	GANTARANG	7302012014	PAENRE LAMPOE	2780	2870	1081	931	994	641	1367	94	93	412	37	0	5650
7302	BULUKUMBA	730201	GANTARANG	7302012015	BENTENG GATARENG	1818	1962	1391	648	1034	326	326	10	13	31	0	1	3780
7302	BULUKUMBA	730201	GANTARANG	7302012016	BUKIT HARAPAN	1897	1912	1261	433	1146	378	462	29	13	86	1	0	3809
7302	BULUKUMBA	730201	GANTARANG	7302012017	POLEWALI	4635	4469	2550	1436	2052	1008	1433	61	125	418	19	2	9104
