kdkab	namakab	KDKEC	NAMA_KEC	KDKEL	DESA_KEL	LAKI	PEREMP	ISLAM	KRISTEN	KATHOLIK	HINDU	BUDHA	KONGHUCU	KEPERCAYAAN	JML_DUK
7301	SELAYAR	730110	PASIMASUNGGU TIMUR	7301102004	LEMBANG BAJI	515	505	1019	1	0	0	0	0	0	1020
7301	SELAYAR	730110	PASIMASUNGGU TIMUR	7301102005	BONTOJATI	628	721	1349	0	0	0	0	0	0	1349
7301	SELAYAR	730111	BUKI	7301112001	BUKI	493	524	1017	0	0	0	0	0	0	1017
7301	SELAYAR	730111	BUKI	7301112002	LALANG BATA	503	580	1083	0	0	0	0	0	0	1083
7301	SELAYAR	730111	BUKI	7301112003	BALANG BUTUNG	374	395	769	0	0	0	0	0	0	769
7301	SELAYAR	730111	BUKI	7301112004	KOHALA	462	499	960	1	0	0	0	0	0	961
7301	SELAYAR	730111	BUKI	7301112005	BONTOLEMPANGAN	529	546	1075	0	0	0	0	0	0	1075
7301	SELAYAR	730111	BUKI	7301112006	MEKAR INDAH	461	515	976	0	0	0	0	0	0	976
7301	SELAYAR	730111	BUKI	7301112007	BUKI TIMUR	395	425	820	0	0	0	0	0	0	820
7302	BULUKUMBA	730201	GANTARANG	7302011001	MATTEKKO	2381	2524	4904	1	0	0	0	0	0	4905
7302	BULUKUMBA	730201	GANTARANG	7302011002	JALANJANG	3141	3262	6394	8	0	1	0	0	0	6403
7302	BULUKUMBA	730201	GANTARANG	7302011003	MARIORENNU	2809	2764	5564	8	1	0	0	0	0	5573
7302	BULUKUMBA	730201	GANTARANG	7302012004	BIALO	1569	1783	3349	3	0	0	0	0	0	3352
7302	BULUKUMBA	730201	GANTARANG	7302012005	BONTO MACINNA	2746	2908	5651	2	0	1	0	0	0	5654
7302	BULUKUMBA	730201	GANTARANG	7302012006	GATTARENG	2280	2328	4606	1	0	1	0	0	0	4608
7302	BULUKUMBA	730201	GANTARANG	7302012007	DAMPANG	2561	2625	5182	1	0	3	0	0	0	5186
7302	BULUKUMBA	730201	GANTARANG	7302012008	BONTO SUNGGU	1452	1594	3046	0	0	0	0	0	0	3046
7302	BULUKUMBA	730201	GANTARANG	7302012009	PALAMBARAE	2137	2124	4258	3	0	0	0	0	0	4261
7302	BULUKUMBA	730201	GANTARANG	7302012010	BONTONYELENG	2433	2494	4925	2	0	0	0	0	0	4927
7302	BULUKUMBA	730201	GANTARANG	7302012011	BENTENG MALEWANG	1477	1557	3034	0	0	0	0	0	0	3034
7302	BULUKUMBA	730201	GANTARANG	7302012012	PADANG	2289	2426	4714	1	0	0	0	0	0	4715
7302	BULUKUMBA	730201	GANTARANG	7302012013	BONTORAJA	2703	2776	5477	2	0	0	0	0	0	5479
7302	BULUKUMBA	730201	GANTARANG	7302012014	PAENRE LAMPOE	2780	2870	5608	21	12	0	9	0	0	5650
7302	BULUKUMBA	730201	GANTARANG	7302012015	BENTENG GATARENG	1818	1962	3780	0	0	0	0	0	0	3780
7302	BULUKUMBA	730201	GANTARANG	7302012016	BUKIT HARAPAN	1897	1912	3806	3	0	0	0	0	0	3809
7302	BULUKUMBA	730201	GANTARANG	7302012017	POLEWALI	4635	4469	9054	24	13	3	10	0	0	9104
7302	BULUKUMBA	730201	GANTARANG	7302012018	BONTOMASILA	2078	2082	4159	1	0	0	0	0	0	4160
7302	BULUKUMBA	730201	GANTARANG	7302012019	BAROMBONG	973	1050	2022	1	0	0	0	0	0	2023
7302	BULUKUMBA	730201	GANTARANG	7302012020	BUKIT TINGGI	1651	1663	3314	0	0	0	0	0	0	3314
7302	BULUKUMBA	730201	GANTARANG	7302012021	TACCORONG	377	367	744	0	0	0	0	0	0	744
7302	BULUKUMBA	730202	UJUNG BULU	7302021001	TANAH KONGKONG	3470	3589	7033	11	11	0	4	0	0	7059
7302	BULUKUMBA	730202	UJUNG BULU	7302021002	BENTENGNGE	2754	2903	5529	48	34	2	42	2	0	5657
7302	BULUKUMBA	730202	UJUNG BULU	7302021003	TERANG-TERANG	1573	1659	3232	0	0	0	0	0	0	3232
7302	BULUKUMBA	730202	UJUNG BULU	7302021004	KALUMEME	3738	3804	7525	15	0	0	0	2	0	7542
7302	BULUKUMBA	730202	UJUNG BULU	7302021005	BINTARORE	2720	2766	5482	4	0	0	0	0	0	5486
7302	BULUKUMBA	730202	UJUNG BULU	7302021006	KASIMPURENG	2250	2299	4473	26	19	0	31	0	0	4549
7302	BULUKUMBA	730202	UJUNG BULU	7302021007	CAILE	7300	7383	14437	120	58	7	61	0	0	14683
7302	BULUKUMBA	730202	UJUNG BULU	7302021008	L O K A	2993	3083	5878	97	55	1	45	0	0	6076
7302	BULUKUMBA	730202	UJUNG BULU	7302021009	ELA ELA	2438	2494	4911	16	5	0	0	0	0	4932
7302	BULUKUMBA	730203	BONTO BAHARI	7302031001	TANAH LEMO	2825	2898	5710	12	0	1	0	0	0	5723
7302	BULUKUMBA	730203	BONTO BAHARI	7302031002	SAPOLOHE	3620	3705	7324	1	0	0	0	0	0	7325
7302	BULUKUMBA	730203	BONTO BAHARI	7302031003	BENJALA	2367	2472	4836	3	0	0	0	0	0	4839
7302	BULUKUMBA	730203	BONTO BAHARI	7302031004	TANAH BERU	1457	1443	2899	0	0	1	0	0	0	2900
7302	BULUKUMBA	730203	BONTO BAHARI	7302032005	B I R A	1945	2157	4091	11	0	0	0	0	0	4102
7302	BULUKUMBA	730203	BONTO BAHARI	7302032006	A R A	1674	1746	3412	6	0	2	0	0	0	3420
7302	BULUKUMBA	730203	BONTO BAHARI	7302032007	DARUBIAH	1626	1871	3497	0	0	0	0	0	0	3497
7302	BULUKUMBA	730203	BONTO BAHARI	7302032008	LEMBANNA	1381	1364	2742	1	0	0	2	0	0	2745
7302	BULUKUMBA	730204	BONTOTIRO	7302041001	EKATIRO	2132	2361	4492	1	0	0	0	0	0	4493
7302	BULUKUMBA	730204	BONTOTIRO	7302042002	DWI TIRO	1358	1395	2753	0	0	0	0	0	0	2753
7302	BULUKUMBA	730204	BONTOTIRO	7302042003	TRITIRO	1380	1496	2876	0	0	0	0	0	0	2876
7302	BULUKUMBA	730204	BONTOTIRO	7302042004	BATANG	1623	1799	3420	1	0	1	0	0	0	3422
7302	BULUKUMBA	730204	BONTOTIRO	7302042005	BONTO TANGNGA	2139	2428	4564	3	0	0	0	0	0	4567
7302	BULUKUMBA	730204	BONTOTIRO	7302042006	CARAMMING	2075	2292	4367	0	0	0	0	0	0	4367
7302	BULUKUMBA	730204	BONTOTIRO	7302042007	TAMALANREA	1560	1679	3239	0	0	0	0	0	0	3239
7302	BULUKUMBA	730204	BONTOTIRO	7302042008	BONTO BARUA	1016	1116	2132	0	0	0	0	0	0	2132
7302	BULUKUMBA	730204	BONTOTIRO	7302042009	PAKUBALAHO	692	717	1408	0	1	0	0	0	0	1409
7302	BULUKUMBA	730204	BONTOTIRO	7302042010	BONTU MARANNU	1124	1154	2258	16	0	4	0	0	0	2278
7302	BULUKUMBA	730204	BONTOTIRO	7302042011	BONTO BULAENG	685	751	1435	1	0	0	0	0	0	1436
7302	BULUKUMBA	730204	BONTOTIRO	7302042012	BUHUNG BUNDANG	1427	1501	2924	4	0	0	0	0	0	2928
7302	BULUKUMBA	730204	BONTOTIRO	7302042013	LAMANDA	28	15	43	0	0	0	0	0	0	43
7302	BULUKUMBA	730205	HERO LANGE-LANGE	7302051001	TANUNTUNG	2560	2689	5247	2	0	0	0	0	0	5249
7302	BULUKUMBA	730205	HERO LANGE-LANGE	7302051002	BONTO KAMASE	2809	3041	5849	1	0	0	0	0	0	5850
7302	BULUKUMBA	730205	HERO LANGE-LANGE	7302052003	KARASSING	1956	2098	4031	5	18	0	0	0	0	4054
7302	BULUKUMBA	730205	HERO LANGE-LANGE	7302052004	SINGA	2208	2478	4684	2	0	0	0	0	0	4686
7302	BULUKUMBA	730205	HERO LANGE-LANGE	7302052005	GUNTURU	2343	2508	4850	1	0	0	0	0	0	4851
