kdkab	namakab	kdkec	namakec	kdkel	desakel	pra_sekolah	sd_sederajat	sltp_sederajat	slta_sederajat	perguruan_tinggi	
7302	BULUKUMBA	730205	HERO LANGE-LANGE	7302052005	GUNTURU	267	487	311	250	3466
7302	BULUKUMBA	730205	HERO LANGE-LANGE	7302052006	BORONG	190	329	213	153	2766
7302	BULUKUMBA	730205	HERO LANGE-LANGE	7302052007	TUGONDENG	343	607	438	336	3874
7302	BULUKUMBA	730205	HERO LANGE-LANGE	7302052008	PATARO	201	351	236	188	2802
7302	BULUKUMBA	730206	KAJANG	7302061001	TANAH JAYA	512	916	487	443	5561
7302	BULUKUMBA	730206	KAJANG	7302061002	LAIKANG	153	326	200	176	2087
7302	BULUKUMBA	730206	KAJANG	7302062003	TAMBANGAN	279	469	308	222	3448
7302	BULUKUMBA	730206	KAJANG	7302062004	LEMBANNA	196	330	261	189	2880
7302	BULUKUMBA	730206	KAJANG	7302062005	POSSI TANAH	87	226	142	99	1543
7302	BULUKUMBA	730206	KAJANG	7302062006	TANAH TOWA	185	556	296	279	2999
7302	BULUKUMBA	730206	KAJANG	7302062007	BONTO BIRAENG	104	246	145	134	1523
7302	BULUKUMBA	730206	KAJANG	7302062008	LEMBANG	174	326	204	173	2089
7302	BULUKUMBA	730206	KAJANG	7302062009	BATUNILAMUNG	135	241	137	108	1438
7302	BULUKUMBA	730206	KAJANG	7302062010	MATTOANGING	125	257	134	147	1563
7302	BULUKUMBA	730206	KAJANG	7302062011	MALLELENG	107	221	142	127	1526
7302	BULUKUMBA	730206	KAJANG	7302062012	BONTO BAJI	205	698	368	309	3598
7302	BULUKUMBA	730206	KAJANG	7302062013	BONTORANNU	159	285	173	126	1812
7302	BULUKUMBA	730206	KAJANG	7302062014	PATTIROANG	157	266	152	110	1418
7302	BULUKUMBA	730206	KAJANG	7302062015	SAPANANG	129	238	150	100	1466
7302	BULUKUMBA	730206	KAJANG	7302062016	SANGKALA	162	277	192	161	2022
7302	BULUKUMBA	730206	KAJANG	7302062017	LEMBANGLOHE	172	311	172	174	1835
7302	BULUKUMBA	730206	KAJANG	7302062019	PANTAMA	168	287	176	134	1984
7302	BULUKUMBA	730206	KAJANG	7302062118	LOLISANG	149	278	177	117	1908
7302	BULUKUMBA	730207	BULUKUMPA	7302071001	TANETE	451	734	363	318	4648
7302	BULUKUMBA	730207	BULUKUMPA	7302071002	JAWI - JAWI	377	683	375	320	4187
7302	BULUKUMBA	730207	BULUKUMPA	7302071003	BALLASARAJA	198	442	227	213	2877
7302	BULUKUMBA	730207	BULUKUMPA	7302072004	BONTO BULAENG	202	453	237	219	2884
7302	BULUKUMBA	730207	BULUKUMPA	7302072005	BULO-BULO	286	444	241	199	2732
7302	BULUKUMBA	730207	BULUKUMPA	7302072006	BONTO MINASA	273	495	271	214	2931
7302	BULUKUMBA	730207	BULUKUMPA	7302072007	BALANG TAROANG	98	227	173	150	2075
7302	BULUKUMBA	730207	BULUKUMPA	7302072008	BARUGAE	216	369	214	176	2462
7302	BULUKUMBA	730207	BULUKUMPA	7302072009	SALASSAE	283	431	228	208	2765
7302	BULUKUMBA	730207	BULUKUMPA	7302072010	KAMBUNO	252	461	225	199	3127
7302	BULUKUMBA	730207	BULUKUMPA	7302072011	JOJJOLO	244	587	312	271	3868
7302	BULUKUMBA	730207	BULUKUMPA	7302072012	SAPO BONTO	321	501	268	249	3391
7302	BULUKUMBA	730207	BULUKUMPA	7302072013	TIBONA	242	475	249	201	3111
7302	BULUKUMBA	730207	BULUKUMPA	7302072014	BALANG PESOANG	215	384	172	158	2045
7302	BULUKUMBA	730207	BULUKUMPA	7302072015	BATULOHE	127	246	147	109	1537
7302	BULUKUMBA	730207	BULUKUMPA	7302072016	BONTOMANGIRING	150	343	150	122	1860
7302	BULUKUMBA	730207	BULUKUMPA	7302072017	BARUGA RIATTANG	57	73	27	46	406
7302	BULUKUMBA	730208	KINDANG	7302082001	BORONG RAPPOA	327	482	267	214	3570
7302	BULUKUMBA	730208	KINDANG	7302082002	MATTIROWALIE	360	527	330	201	3287
7302	BULUKUMBA	730208	KINDANG	7302082003	KINDANG	335	634	311	282	3665
7302	BULUKUMBA	730208	KINDANG	7302082004	ANRIHUA	321	489	264	240	3718
7302	BULUKUMBA	730208	KINDANG	7302082005	TAMAONA	227	389	206	180	2317
7302	BULUKUMBA	730208	KINDANG	7302082006	BENTENG PALIOI	362	667	410	290	4103
7302	BULUKUMBA	730208	KINDANG	7302082007	BALIBO	214	363	191	169	2613
7302	BULUKUMBA	730208	KINDANG	7302082008	GARUNTUNGAN	177	324	213	189	2468
7302	BULUKUMBA	730208	KINDANG	7302082009	ORO GADING	68	166	100	90	1094
7302	BULUKUMBA	730208	KINDANG	7302082010	SIPAENDRE	24	26	8	8	172
7302	BULUKUMBA	730208	KINDANG	7302082011	KAHAYYA	4	4	4	1	38
7302	BULUKUMBA	730208	KINDANG	7302082012	SOMBA PALIOI	1	0	0	1	11
7302	BULUKUMBA	730208	KINDANG	7302082013	SOPA	2	2	1	0	18
7302	BULUKUMBA	730209	UJUNG LOE	7302092001	DANNUANG	418	590	291	247	3963
7302	BULUKUMBA	730209	UJUNG LOE	7302092002	GARANTA	373	648	415	304	3649
7302	BULUKUMBA	730209	UJUNG LOE	7302092003	BALLEANGING	275	631	334	276	3821
7302	BULUKUMBA	730209	UJUNG LOE	7302092004	BALONG	337	528	271	235	2963
7302	BULUKUMBA	730209	UJUNG LOE	7302092005	SEPPANG	428	749	365	296	4180
7302	BULUKUMBA	730209	UJUNG LOE	7302092006	MANYAMPA	373	594	375	283	3688
7302	BULUKUMBA	730209	UJUNG LOE	7302092007	TAMATTO	410	655	359	280	3745
7302	BULUKUMBA	730209	UJUNG LOE	7302092008	PADANG LOANG	243	407	233	217	2449
7302	BULUKUMBA	730209	UJUNG LOE	7302092009	MANJALLING	179	296	184	146	2050
7302	BULUKUMBA	730209	UJUNG LOE	7302092010	LONRONG	104	182	96	89	1195
7302	BULUKUMBA	730209	UJUNG LOE	7302092011	SALEMBA	334	476	273	217	3223
7302	BULUKUMBA	730209	UJUNG LOE	7302092012	BIJAWANG	289	456	247	212	2732
7302	BULUKUMBA	730209	UJUNG LOE	7302092013	PACCARAMMENGANG	27	33	17	14	166
7302	BULUKUMBA	730210	RILAU ALE	7302102001	BONTOMANAI	338	565	318	264	3357
7302	BULUKUMBA	730210	RILAU ALE	7302102002	PALAMPANG	243	486	261	203	2829
7302	BULUKUMBA	730210	RILAU ALE	7302102003	BONTOBANGUN	206	422	258	218	2905
7302	BULUKUMBA	730210	RILAU ALE	7302102004	KARAMA	273	497	317	234	2899
7302	BULUKUMBA	730210	RILAU ALE	7302102005	BONTOLOHE	185	357	201	189	2498
7302	BULUKUMBA	730210	RILAU ALE	7302102006	BAJIMINASA	300	496	336	242	3043
7302	BULUKUMBA	730210	RILAU ALE	7302102007	BONTO MATENE	156	270	144	132	1862
7302	BULUKUMBA	730210	RILAU ALE	7302102008	TANAH HARAPAN	327	584	352	282	3662
7302	BULUKUMBA	730210	RILAU ALE	7302102009	BATUKAROPA	269	418	255	218	2819
7302	BULUKUMBA	730210	RILAU ALE	7302102010	BONTOHARU	238	382	216	191	2276
7302	BULUKUMBA	730210	RILAU ALE	7302102011	SWATANI	206	418	257	196	2355
7302	BULUKUMBA	730210	RILAU ALE	7302102012	BULOLOHE	218	331	164	148	1996
7302	BULUKUMBA	730210	RILAU ALE	7302102013	ANRANG	182	379	243	210	2578
7302	BULUKUMBA	730210	RILAU ALE	7302102014	PANGALLOANG	135	138	105	93	1120
7302	BULUKUMBA	730210	RILAU ALE	7302102015	TOPANDA	143	170	123	93	870
7303	BANTAENG	730301	BISSAPPU	7303011001	BONTO MANAI	237	387	197	191	2322
7303	BANTAENG	730301	BISSAPPU	7303011002	BONTO LEBANG	360	483	247	225	2829
7303	BANTAENG	730301	BISSAPPU	7303011003	BONTO SUNGGU	666	1072	505	454	5412
7303	BANTAENG	730301	BISSAPPU	7303011004	BONTO  ATU	334	491	246	244	2534
7303	BANTAENG	730301	BISSAPPU	7303011005	BONTO RITA	499	780	388	334	4102
7303	BANTAENG	730301	BISSAPPU	7303011006	BONTO LANGKASA	106	218	141	141	1586
7303	BANTAENG	730301	BISSAPPU	7303011007	BONTO JAYA	193	329	197	148	2299
7303	BANTAENG	730301	BISSAPPU	7303012008	BONTO JAI	142	253	114	96	1349
7303	BANTAENG	730301	BISSAPPU	7303012009	BONTO CINDE	140	216	145	123	1655
7303	BANTAENG	730301	BISSAPPU	7303012010	BONTO LOE	124	133	79	67	1188
7303	BANTAENG	730301	BISSAPPU	7303012012	BONTO SALLUANG	159	277	128	130	1489
7303	BANTAENG	730302	BANTAENG	7303021001	TAPPANJENG	379	540	264	245	3563
7303	BANTAENG	730302	BANTAENG	7303021002	PALLANTIKANG	805	1354	618	592	7979
7303	BANTAENG	730302	BANTAENG	7303021003	LETTA	311	359	195	159	2546
7303	BANTAENG	730302	BANTAENG	7303021004	MALLILINGI	482	756	379	340	4230
7303	BANTAENG	730302	BANTAENG	7303021005	LEMBANG	477	734	366	338	4269
7303	BANTAENG	730302	BANTAENG	7303021006	LAMALAKA	336	551	261	235	3607
7303	BANTAENG	730302	BANTAENG	7303021007	KARATUANG	181	282	185	142	1629
7303	BANTAENG	730302	BANTAENG	7303021008	ONTO	383	589	365	315	3181
7303	BANTAENG	730302	BANTAENG	7303022009	KAYU LOE	145	230	159	114	1190
7303	BANTAENG	730303	EREMERASA	7303032001	ULUGALUNG	262	386	234	234	2544
7303	BANTAENG	730303	EREMERASA	7303032002	LONRONG	199	359	228	187	2239
7303	BANTAENG	730303	EREMERASA	7303032003	BARUA	227	435	228	213	2423
7303	BANTAENG	730303	EREMERASA	7303032004	KAMPALA	247	415	277	231	2571
7303	BANTAENG	730303	EREMERASA	7303032005	PA_BENTENGAN	152	315	177	157	1475
7303	BANTAENG	730303	EREMERASA	7303032006	MAPPILAWING	140	254	151	135	1359
7303	BANTAENG	730303	EREMERASA	7303032007	PA_BUMBUNGAN	114	214	132	118	1210
7303	BANTAENG	730303	EREMERASA	7303032008	MAMAMPANG	133	240	138	122	1506
7303	BANTAENG	730303	EREMERASA	7303032009	PARANGLOE	57	106	56	45	637
7303	BANTAENG	730304	TOMPOBULU	7303041001	LEMBANG GANTARANG	243	435	269	244	2955
7303	BANTAENG	730304	TOMPOBULU	7303041003	BANYORANG	231	345	201	151	2491
7303	BANTAENG	730304	TOMPOBULU	7303041004	CAMPAGA	144	244	128	125	1602
7303	BANTAENG	730304	TOMPOBULU	7303041005	ERENG-ERENG	109	164	109	69	1463
7303	BANTAENG	730304	TOMPOBULU	7303042006	LABBO	261	394	180	163	2727
7303	BANTAENG	730304	TOMPOBULU	7303042007	PATTANETEANG	127	222	97	113	1469
7303	BANTAENG	730304	TOMPOBULU	7303042008	PATTALLASSANG	227	390	228	178	2799
7303	BANTAENG	730304	TOMPOBULU	7303042009	BONTO-BONTOA	139	219	133	99	1598
7303	BANTAENG	730304	TOMPOBULU	7303042010	BONTO TAPPALANG	76	175	85	76	943
7303	BANTAENG	730304	TOMPOBULU	7303042011	BALUMBUNG	140	173	93	87	1802
7303	BANTAENG	730305	PAJUKUKANG	7303052002	BIANGKEKE	221	413	208	187	2161
7303	BANTAENG	730305	PAJUKUKANG	7303052003	PA_JUKUKANG	355	648	377	323	3389
7303	BANTAENG	730305	PAJUKUKANG	7303052004	BIANGLOE	178	250	165	144	1822
7303	BANTAENG	730305	PAJUKUKANG	7303052005	BORONGLOE	354	567	317	241	3169
7303	BANTAENG	730305	PAJUKUKANG	7303052006	BARUGA	494	837	362	309	3716
7303	BANTAENG	730305	PAJUKUKANG	7303052010	NIPA-NIPA	298	535	292	239	2857
7303	BANTAENG	730305	PAJUKUKANG	7303052012	PAPANLOE	181	377	233	165	2175
7303	BANTAENG	730305	PAJUKUKANG	7303052013	RAPPOA	149	199	104	108	1333
7303	BANTAENG	730305	PAJUKUKANG	7303052014	LUMPANGANG	256	350	203	168	2307
7303	BANTAENG	730305	PAJUKUKANG	7303052015	BATU KARAENG	91	113	66	57	873
7303	BANTAENG	730306	ULUERE	7303062001	BONTO MARANNU	106	168	110	97	1058
7303	BANTAENG	730306	ULUERE	7303062002	BONTO TANGNGA	59	105	74	69	838
7303	BANTAENG	730306	ULUERE	7303062006	BONTO TALLASA	137	247	164	148	1966
